antibody,source,study
1-57,WT convalescents,imprinted_2022
2-15,WT convalescents,imprinted_2022
7D6,WT convalescents,imprinted_2022
ADG-2,SARS convalescents,imprinted_2022
B38,WT convalescents,imprinted_2022
BD-196,WT convalescents,imprinted_2022
BD-218,WT convalescents,imprinted_2022
BD-236,WT convalescents,imprinted_2022
BD-254,WT convalescents,imprinted_2022
BD-255,WT convalescents,imprinted_2022
BD-319,WT convalescents,imprinted_2022
BD-320,WT convalescents,imprinted_2022
BD-362,WT convalescents,imprinted_2022
BD-368,WT convalescents,imprinted_2022
BD-369,WT convalescents,imprinted_2022
BD-380,WT convalescents,imprinted_2022
BD-395,WT convalescents,imprinted_2022
BD-397,WT convalescents,imprinted_2022
BD-403,WT convalescents,imprinted_2022
BD-417,WT convalescents,imprinted_2022
BD-418,WT convalescents,imprinted_2022
BD-421,WT convalescents,imprinted_2022
BD-449,WT convalescents,imprinted_2022
BD-467,WT convalescents,imprinted_2022
BD-494,WT convalescents,imprinted_2022
BD-498,WT convalescents,imprinted_2022
BD-500,WT convalescents,imprinted_2022
BD-503,WT convalescents,imprinted_2022
BD-504,WT convalescents,imprinted_2022
BD-505,WT convalescents,imprinted_2022
BD-507,WT convalescents,imprinted_2022
BD-508,WT convalescents,imprinted_2022
BD-515,WT convalescents,imprinted_2022
BD-536,WT convalescents,imprinted_2022
BD-566,WT convalescents,imprinted_2022
BD-598,WT convalescents,imprinted_2022
BD-599,WT convalescents,imprinted_2022
BD-605,WT convalescents,imprinted_2022
BD-612,WT convalescents,imprinted_2022
BD-613,WT convalescents,imprinted_2022
BD-614,WT convalescents,imprinted_2022
BD-616,WT convalescents,imprinted_2022
BD-618,WT convalescents,imprinted_2022
BD-619,WT convalescents,imprinted_2022
BD-623,WT convalescents,imprinted_2022
BD-628,WT convalescents,imprinted_2022
BD-629,WT convalescents,imprinted_2022
BD-643,WT vaccinees,imprinted_2022
BD-667,WT vaccinees,imprinted_2022
BD-670,WT vaccinees,imprinted_2022
BD-692,WT vaccinees,imprinted_2022
BD-693,WT vaccinees,imprinted_2022
BD-694,WT vaccinees,imprinted_2022
BD-695,WT vaccinees,imprinted_2022
BD-702,WT vaccinees,imprinted_2022
BD-708,WT vaccinees,imprinted_2022
BD-713,WT vaccinees,imprinted_2022
BD-715,WT vaccinees,imprinted_2022
BD-725,WT vaccinees,imprinted_2022
BD-732,WT vaccinees,imprinted_2022
BD-739,WT vaccinees,imprinted_2022
BD-743,WT vaccinees,imprinted_2022
BD-744,WT vaccinees,imprinted_2022
BD-748,WT vaccinees,imprinted_2022
BD-751,WT vaccinees,imprinted_2022
BD-755,WT vaccinees,imprinted_2022
BD-756,WT vaccinees,imprinted_2022
BD-758,WT vaccinees,imprinted_2022
BD-767,WT vaccinees,imprinted_2022
BD-771,WT vaccinees,imprinted_2022
BD-778,WT vaccinees,imprinted_2022
BD-790,WT vaccinees,imprinted_2022
BD-791,WT vaccinees,imprinted_2022
BD-796,WT vaccinees,imprinted_2022
BD-801,WT vaccinees,imprinted_2022
BD-804,WT vaccinees,imprinted_2022
BD-805,WT vaccinees,imprinted_2022
BD-807,WT convalescents,imprinted_2022
BD-809,WT convalescents,imprinted_2022
BD-812,WT convalescents,imprinted_2022
BD-813,WT convalescents,imprinted_2022
BD-815,WT convalescents,imprinted_2022
BD-817,WT convalescents,imprinted_2022
BD-818,WT convalescents,imprinted_2022
BD-819,WT convalescents,imprinted_2022
BD-821,WT convalescents,imprinted_2022
BD-822,WT convalescents,imprinted_2022
BD-824,WT convalescents,imprinted_2022
BD-826,WT convalescents,imprinted_2022
BD-827,WT convalescents,imprinted_2022
BD-828,WT convalescents,imprinted_2022
BD-833,WT convalescents,imprinted_2022
BD-835,WT convalescents,imprinted_2022
BD-836,WT convalescents,imprinted_2022
BD-837,WT convalescents,imprinted_2022
BD-843,WT convalescents,imprinted_2022
BD-846,WT convalescents,imprinted_2022
BD-849,WT convalescents,imprinted_2022
BD-863,WT convalescents,imprinted_2022
BD-864,WT convalescents,imprinted_2022
BD-870,WT convalescents,imprinted_2022
BD-897,WT convalescents,imprinted_2022
BD-898,WT convalescents,imprinted_2022
BD-899,WT convalescents,imprinted_2022
BD-900,WT convalescents,imprinted_2022
BD-901,WT convalescents,imprinted_2022
BD-904,WT convalescents,imprinted_2022
BD-906,WT convalescents,imprinted_2022
BD-907,WT convalescents,imprinted_2022
BD-912,WT convalescents,imprinted_2022
BD-913,WT convalescents,imprinted_2022
BD-914,WT convalescents,imprinted_2022
BD-915,WT vaccinees,imprinted_2022
BD-916,WT vaccinees,imprinted_2022
BD-917,WT vaccinees,imprinted_2022
BD-918,WT vaccinees,imprinted_2022
BD-922,WT vaccinees,imprinted_2022
BD-923,WT vaccinees,imprinted_2022
BD30-604,WT convalescents,repeated_2024
BD45-105,WT convalescents,repeated_2024
BD45-145,WT convalescents,repeated_2024
BD45-147,WT convalescents,repeated_2024
BD45-152,WT convalescents,repeated_2024
BD45-158,WT convalescents,repeated_2024
BD45-21,WT convalescents,repeated_2024
BD45-228,WT convalescents,repeated_2024
BD45-231,WT convalescents,repeated_2024
BD45-277,WT convalescents,repeated_2024
BD45-70,WT convalescents,repeated_2024
BD55-1004,WT convalescents,imprinted_2022
BD55-1009,WT convalescents,imprinted_2022
BD55-1027,WT convalescents,imprinted_2022
BD55-1028,WT convalescents,imprinted_2022
BD55-1029,WT convalescents,imprinted_2022
BD55-1034,WT convalescents,imprinted_2022
BD55-1035,WT convalescents,imprinted_2022
BD55-1036,WT convalescents,imprinted_2022
BD55-1038,WT convalescents,imprinted_2022
BD55-1039,WT convalescents,imprinted_2022
BD55-1041,WT convalescents,imprinted_2022
BD55-1049,WT convalescents,imprinted_2022
BD55-1051,WT convalescents,imprinted_2022
BD55-1061,WT convalescents,imprinted_2022
BD55-1064,WT convalescents,imprinted_2022
BD55-1065,WT convalescents,imprinted_2022
BD55-1066,WT convalescents,imprinted_2022
BD55-1070,WT convalescents,imprinted_2022
BD55-1073,WT convalescents,imprinted_2022
BD55-1075,WT convalescents,imprinted_2022
BD55-1078,WT convalescents,imprinted_2022
BD55-1084,WT convalescents,imprinted_2022
BD55-1087,WT convalescents,imprinted_2022
BD55-1091,WT convalescents,imprinted_2022
BD55-1092,WT convalescents,imprinted_2022
BD55-1093,WT convalescents,imprinted_2022
BD55-1096,WT convalescents,imprinted_2022
BD55-1104,WT convalescents,imprinted_2022
BD55-1109,WT convalescents,imprinted_2022
BD55-1114,WT convalescents,imprinted_2022
BD55-1117,WT convalescents,imprinted_2022
BD55-1128,WT convalescents,imprinted_2022
BD55-1129,WT convalescents,imprinted_2022
BD55-1132,WT convalescents,imprinted_2022
BD55-1136,WT convalescents,imprinted_2022
BD55-1140,WT convalescents,imprinted_2022
BD55-1141,WT convalescents,imprinted_2022
BD55-1144,WT convalescents,imprinted_2022
BD55-1145,WT convalescents,imprinted_2022
BD55-1146,WT convalescents,imprinted_2022
BD55-1162,WT convalescents,imprinted_2022
BD55-1171,WT convalescents,imprinted_2022
BD55-1177,WT convalescents,imprinted_2022
BD55-1179,WT convalescents,imprinted_2022
BD55-1180,WT convalescents,imprinted_2022
BD55-1192,WT convalescents,imprinted_2022
BD55-1199,WT convalescents,imprinted_2022
BD55-1201,WT convalescents,imprinted_2022
BD55-1205,WT convalescents,repeated_2024
BD55-1208,WT convalescents,imprinted_2022
BD55-1211,WT convalescents,imprinted_2022
BD55-1214,WT convalescents,imprinted_2022
BD55-1223,WT convalescents,imprinted_2022
BD55-1225,WT convalescents,imprinted_2022
BD55-1226,WT convalescents,imprinted_2022
BD55-1232,WT convalescents,imprinted_2022
BD55-1233,WT convalescents,imprinted_2022
